Features,AvgScore
cases_recovered_Kelantan,0.85
cases_new_Kedah,0.84
cases_recovered_WPPutrajaya,0.8324999999999999
cases_recovered_PulauPinang,0.825
cases_new_Kelantan,0.8225
cases_new_Terengganu,0.8175
active_cases_Kedah,0.8175
cases_new_Sabah,0.815
cases_new_Melaka,0.8125
cases_recovered_Kedah,0.8099999999999999
active_cases_Terengganu,0.8025
cases_new_PulauPinang,0.7975
cases_new_Johor,0.7899999999999999
cluster_community,0.7899999999999999
cases_recovered_Melaka,0.7875
active_cases_Kelantan,0.7875
cases_recovered_Terengganu,0.785
cases_recovered_WPKualaLumpur,0.7775
cases_new_WPLabuan,0.7699999999999999
active_cases_Perlis,0.7699999999999999
