date,cases_recovered
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,1
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,4
2020-02-15,1
2020-02-16,0
2020-02-17,3
2020-02-18,2
2020-02-19,4
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,0
2020-02-24,2
2020-02-25,0
2020-02-26,0
2020-02-27,2
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,6
2020-03-13,0
2020-03-14,4
2020-03-15,5
2020-03-16,0
2020-03-17,7
2020-03-18,11
2020-03-19,15
2020-03-20,12
2020-03-21,27
2020-03-22,25
2020-03-23,20
2020-03-24,24
2020-03-25,16
2020-03-26,16
2020-03-27,44
2020-03-28,61
2020-03-29,68
2020-03-30,90
2020-03-31,58
2020-04-01,108
2020-04-02,122
2020-04-03,60
2020-04-04,88
2020-04-05,90
2020-04-06,236
2020-04-07,80
2020-04-08,166
2020-04-09,121
2020-04-10,222
2020-04-11,165
2020-04-12,113
2020-04-13,168
2020-04-14,202
2020-04-15,169
2020-04-16,119
2020-04-17,201
2020-04-18,135
2020-04-19,95
2020-04-20,98
2020-04-21,54
2020-04-22,103
2020-04-23,90
2020-04-24,121
2020-04-25,99
2020-04-26,100
2020-04-27,95
2020-04-28,75
2020-04-29,55
2020-04-30,84
2020-05-01,39
2020-05-02,116
2020-05-03,87
2020-05-04,71
2020-05-05,83
2020-05-06,135
2020-05-07,74
2020-05-08,88
2020-05-09,65
2020-05-10,96
2020-05-11,88
2020-05-12,110
2020-05-13,58
2020-05-14,70
2020-05-15,88
2020-05-16,73
2020-05-17,59
2020-05-18,44
2020-05-19,31
2020-05-20,60
2020-05-21,90
2020-05-22,63
2020-05-23,53
2020-05-24,33
2020-05-25,34
2020-05-26,62
2020-05-27,42
2020-05-28,86
2020-05-29,66
2020-05-30,95
2020-05-31,23
2020-06-01,51
2020-06-02,66
2020-06-03,61
2020-06-04,28
2020-06-05,51
2020-06-06,25
2020-06-07,39
2020-06-08,20
2020-06-09,281
2020-06-10,39
2020-06-11,51
2020-06-12,103
2020-06-13,143
2020-06-14,35
2020-06-15,54
2020-06-16,333
2020-06-17,140
2020-06-18,127
2020-06-19,70
2020-06-20,76
2020-06-21,10
2020-06-22,21
2020-06-23,9
2020-06-24,45
2020-06-25,40
2020-06-26,23
2020-06-27,14
2020-06-28,10
2020-06-29,16
2020-06-30,20
2020-07-01,21
2020-07-02,62
2020-07-03,9
2020-07-04,15
2020-07-05,4
2020-07-06,11
2020-07-07,5
2020-07-08,5
2020-07-09,13
2020-07-10,12
2020-07-11,4
2020-07-12,4
2020-07-13,1
2020-07-14,4
2020-07-15,2
2020-07-16,12
2020-07-17,3
2020-07-18,5
2020-07-19,7
2020-07-20,2
2020-07-21,7
2020-07-22,4
2020-07-23,8
2020-07-24,3
2020-07-25,17
2020-07-26,6
2020-07-27,1
2020-07-28,6
2020-07-29,5
2020-07-30,5
2020-07-31,27
2020-08-01,3
2020-08-02,17
2020-08-03,4
2020-08-04,16
2020-08-05,18
2020-08-06,11
2020-08-07,15
2020-08-08,47
2020-08-09,9
2020-08-10,19
2020-08-11,6
