Features,AvgScore
cases_recovered_WPPutrajaya,0.88
cases_recovered_NegeriSembilan,0.88
cases_new_Kedah,0.8775
active_cases_Sarawak,0.87
cases_recovered_Terengganu,0.865
cases_recovered_Selangor,0.8574999999999999
cases_new_Terengganu,0.855
cases_recovered_WPKualaLumpur,0.85
cases_new_PulauPinang,0.85
cases_recovered_Sarawak,0.85
cases_recovered,0.8475
cases_recovered_Kedah,0.84
cases_new_Pahang,0.8324999999999999
cases_recovered_PulauPinang,0.8324999999999999
cases_recovered_Perak,0.83
cases_new_Sarawak,0.825
cases_import_Selangor,0.8124999999999999
cases_recovered_Melaka,0.8124999999999999
active_cases_Perlis,0.7999999999999999
cases_new_Perak,0.7949999999999999
