date,cases_recovered
2020-01-26,0
2020-02-02,0
2020-02-09,3
2020-02-16,5
2020-02-23,10
2020-03-01,4
2020-03-08,3
2020-03-15,17
2020-03-22,97
2020-03-29,249
2020-04-05,616
2020-04-12,1103
2020-04-19,1089
2020-04-26,665
2020-05-03,551
2020-05-10,612
2020-05-17,546
2020-05-24,374
2020-05-31,408
2020-06-07,321
2020-06-14,672
2020-06-21,810
2020-06-28,162
2020-07-05,147
2020-07-12,54
2020-07-19,34
2020-07-26,47
2020-08-02,64
2020-08-09,120
2020-08-16,75
2020-08-23,100
2020-08-30,89
2020-09-06,67
2020-09-13,81
2020-09-20,159
2020-09-27,480
2020-10-04,448
2020-10-11,630
2020-10-18,2349
2020-10-25,3872
2020-11-01,5086
2020-11-08,6014
2020-11-15,6551
2020-11-22,6812
2020-11-29,11050
2020-12-06,8626
2020-12-13,8120
2020-12-20,7916
2020-12-27,7102
2021-01-03,12807
2021-01-10,10891
2021-01-17,11942
2021-01-24,21395
2021-01-31,24603
2021-02-07,24290
2021-02-14,23475
2021-02-21,35395
2021-02-28,24208
2021-03-07,18541
2021-03-14,14316
2021-03-21,11015
2021-03-28,9020
2021-04-04,8853
2021-04-11,8791
2021-04-18,9869
2021-04-25,13931
2021-05-02,15387
2021-05-09,18794
2021-05-16,24385
2021-05-23,26502
2021-05-30,31966
2021-06-06,42022
2021-06-13,53467
2021-06-20,47909
2021-06-27,39524
2021-07-04,37777
2021-07-11,36811
2021-07-18,42652
2021-07-25,59592
2021-08-01,81423
2021-08-08,100433
2021-08-15,118730
2021-08-22,133541
2021-08-29,143335
2021-09-05,148822
2021-09-12,150886
2021-09-19,24813
